,Country,time zone,Time_out,Time_in,City,web_browser,operating_sys,from_url,to_url,Longtuide,Latituide
48,GB,Europe/London,1331923297.0,1331921292.0,Birmingham,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,52.466702, -1.9167
49,US,America/New_York,1331923296.0,1301298479.0,Paramus,Mozilla/4.0,Windows NT 6.1,direct,www.fda.gov,40.9445, -74.07
50,PT,Europe/Lisbon,1331923298.0,1331908247.0,Lisboa,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,38.716702, -9.1333
51,FR,Europe/Paris,1331923298.0,1331922854.0,Lambersart,Mozilla/5.0,Windows NT 6.0,www.facebook.com,www.nasa.gov,50.650002, 3.0333
52,GB,Europe/London,1331923300.0,1331922854.0,Bodmin,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,50.4664, -4.7256
53,DK,Europe/Copenhagen,1331923299.0,1331922854.0,Herning,Mozilla/5.0,Macintosh,www.facebook.com,www.nasa.gov,56.133301, 8.9833
54,IT,Europe/Rome,1331923301.0,1331922854.0,Piombino,Mozilla/5.0,Windows NT 5.1,www.facebook.com,www.nasa.gov,42.916698, 10.5333
55,US,America/New_York,1331923300.0,1319563556.0,Grand Rapids,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,42.942501, -85.616096
56,US,America/New_York,1331923302.0,1319563556.0,White Plains,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,41.029099, -73.758003
57,GB,Europe/London,1331923304.0,1301393171.0,London,Mozilla/5.0,iPhone,direct,apod.nasa.gov,51.500198, -0.1262
58,IT,Europe/Rome,1331923303.0,1331922854.0,Rome,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,41.900002, 12.4833
59,US,America/New_York,1331923304.0,1331905829.0,Columbus,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,40.028999, -83.080902
60,US,America/Chicago,1331923304.0,1331922854.0,Mesquite,Mozilla/5.0,Macintosh,t.co,www.nasa.gov,32.7673, -96.624702
61,US,America/New_York,1331923305.0,1331893247.0,Farmington,Mozilla/4.0,Windows NT 6.1,stocktwits.com,www.federalreserve.gov,41.725201, -72.829498
62,FR,Europe/Paris,1331923305.0,1331922854.0,Limeil-brnnes,Mozilla/4.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,48.733299, 2.4833
63,US,America/Los_Angeles,1331923309.0,1303843769.0,San Francisco,Mozilla/5.0,Windows NT 6.1,direct,www.energy.ca.gov,37.7645, -122.429398
64,MX,America/Mazatlan,1331923313.0,1331908247.0,Durango,NokiaC3-00/5.0,Macintosh,t.co,www.nasa.gov,24.0333, -104.666702
65,IE,Europe/Dublin,1331923315.0,1331922854.0,Dublin,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,53.333099, -6.2489
66,US,America/New_York,1331923317.0,1255769846.0,Kennesaw,Mozilla/4.0,Windows NT 6.1,direct,toxtown.nlm.nih.gov,34.010399, -84.623901
67,HK,Asia/Hong_Kong,1331923317.0,1317318039.0,A Po Long,Mozilla/5.0,Windows NT 5.1,forum2.hkgolden.com,www.usno.navy.mil,22.2833, 114.0
68,HK,Asia/Hong_Kong,1331923317.0,1317318030.0,A Po Long,Mozilla/5.0,Windows NT 5.1,forum2.hkgolden.com,www.ssd.noaa.gov,22.2833, 114.0
69,US,America/New_York,1331923322.0,1319563556.0,White Plains,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,41.029099, -73.758003
70,US,America/New_York,1331923323.0,1331922854.0,Jersey City,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,40.692501, -74.070396
71,BE,Europe/Brussels,1331923324.0,1331922854.0,Li,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,50.633301, 5.5667
72,BR,America/Sao_Paulo,1331923324.0,1331923068.0,Curitiba,Mozilla/5.0,Macintosh,direct,apod.nasa.gov,-25.4167, -49.25
73,US,America/New_York,1331923325.0,1319563556.0,Warrington,Mozilla/5.0,Windows,direct,www.nysdot.gov,40.248901, -75.149803
74,CA,America/Vancouver,1331923325.0,1331502617.0,Surrey,Mozilla/5.0,iPad,direct,www.nps.gov,49.136398, -122.821297
75,US,America/New_York,1331923325.0,1319563556.0,Mount Laurel,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,39.957199, -74.916199
76,NL,Europe/Amsterdam,1331923326.0,1331922854.0,Tholen,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,51.533298, 4.2167
77,CZ,Europe/Prague,1331923327.0,1331908247.0,Brno,Opera/9.80,Windows NT 6.1,direct,www.nasa.gov,49.200001, 16.633301
78,US,America/New_York,1331923328.0,1331905829.0,Woodbridge,Mozilla/5.0,Windows NT 5.1,www.facebook.com,www.nasa.gov,38.678001, -77.319702
79,US,America/New_York,1331923331.0,1331922854.0,Burke,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,38.785099, -77.286598
80,US,America/New_York,1331923332.0,1331840856.0,Ruther Glen,Mozilla/5.0,iPhone,twitter.com,www.whitehouse.gov,37.955002, -77.437202
81,SE,Europe/Stockholm,1331923333.0,1331922854.0,Stockholm,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,59.333302, 18.049999
82,US,America/New_York,1331923334.0,1331749429.0,Hartland,Mozilla/5.0,Windows NT 6.1,t.co,www.nasa.gov,43.574299, -72.408096
83,BR,America/Sao_Paulo,1331923335.0,1331922854.0,Belo Horizonte,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,-19.9167, -43.9333
84,US,America/Anchorage,1331923335.0,1331218539.0,Bethel,Mozilla/4.0,Windows NT 6.1,direct,www.grants.gov,60.9324, -161.800598
85,US,America/New_York,1331923336.0,1246975140.0,Larchmont,Mozilla/5.0,Windows NT 6.1,t.co,radar.weather.gov,40.933399, -73.756302
86,US,America/New_York,1331923336.0,1310488059.0,Columbus,Mozilla/5.0,Windows,direct,www2.ed.gov,40.0532, -83.022003
87,US,America/New_York,1331923336.0,1273672506.0,Shrewsbury,Mozilla/4.0,Windows NT 6.1,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,42.286499, -71.714699
88,US,America/New_York,1331923336.0,1273672411.0,Shrewsbury,Mozilla/4.0,Windows NT 6.1,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,42.286499, -71.714699
89,MY,Asia/Kuala_Lumpur,1331923337.0,1331922854.0,Melaka,Mozilla/5.0,iPad,m.facebook.com,www.nasa.gov,2.1969, 102.2481
90,US,America/Chicago,1331923339.0,1330539686.0,Houston,Mozilla/4.0,Windows NT 6.1,direct,www.nasa.gov,29.775499, -95.415199
91,US,America/Chicago,1331923339.0,1331922854.0,Huntsville,Mozilla/5.0,Windows NT 5.1,t.co,www.nasa.gov,34.719299, -86.560402
92,US,America/New_York,1331923339.0,1308751691.0,Needham,Mozilla/4.0,Windows NT 6.1,direct,studentaid.ed.gov,42.279301, -71.245003
93,TH,Asia/Bangkok,1331923341.0,1331922854.0,Si Sa Ket,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,15.1167, 104.333298
94,DE,Europe/Berlin,1331923341.0,1331908247.0,Oldenburg,Mozilla/5.0,Macintosh,t.co,www.nasa.gov,53.166698, 8.2
95,US,America/Denver,1331923342.0,1331007307.0,Albuquerque,Mozilla/5.0,Windows NT 6.1,36ohk6dgmcd1n-c.c.yom.mail.yahoo.net,www.srh.noaa.gov,35.102501, -106.611702
96,IT,Europe/Rome,1331923342.0,1331922854.0,Crespellano,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,44.516701, 11.1167
97,US,America/New_York,1331923343.0,1331750914.0,Yalaha,Mozilla/5.0,Macintosh,www.facebook.com,www.jpl.nasa.gov,28.734699, -81.819702
98,US,America/New_York,1331923345.0,1312280809.0,Summerville,Mozilla/5.0,Windows,direct,forecast.weather.gov,32.964699, -80.2015
99,CA,America/Rainy_River,1331923348.0,1331922854.0,Toronto,Mozilla/5.0,Windows NT 5.1,t.co,www.nasa.gov,43.666698, -79.416702
100,US,America/New_York,1331923349.0,1320859236.0,Washington,Mozilla/4.0,Windows NT 6.1,www.aashtojournal.org,thomas.loc.gov,38.909698, -77.023102
101,US,America/Los_Angeles,1331923351.0,1331757763.0,Berkeley,Mozilla/4.0,Windows NT 6.1,www.aashtojournal.org,www.dot.ca.gov,37.878101, -122.271004
102,US,America/New_York,1331923351.0,1331908247.0,Cincinnati,Mozilla/5.0,Macintosh,t.co,www.nasa.gov,39.169899, -84.485901
103,US,America/Denver,1331923352.0,1331888586.0,Albuquerque,Mozilla/5.0,Windows NT 6.1,www.srh.noaa.gov,www.srh.noaa.gov,35.102501, -106.611702
104,US,America/New_York,1331923352.0,1331922854.0,Vernon Rockville,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,41.836498, -72.463203
105,US,America/New_York,1331923355.0,1331921833.0,Brooklyn,Mozilla/5.0,Macintosh,t.co,www.nature.nps.gov,40.702099, -73.942299
106,PL,Europe/Warsaw,1331923357.0,1331922854.0,Cracow,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,50.083302, 19.9167
107,US,America/New_York,1331923358.0,1319563556.0,Laurel,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,39.096699, -76.877899
108,US,America/New_York,1331923358.0,1331910606.0,Annandale,Mozilla/4.0,Windows NT 6.1,direct,www.fbi.gov,38.8381, -77.212097
109,US,America/New_York,1331923359.0,1273672411.0,Shrewsbury,Mozilla/4.0,Windows NT 6.1,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,42.286499, -71.714699
110,US,America/New_York,1331923359.0,1273672506.0,Shrewsbury,Mozilla/4.0,Windows NT 6.1,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,42.286499, -71.714699
111,IT,Europe/Rome,1331923360.0,1331922854.0,Sorrento,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,40.616699, 14.3667
112,US,America/Chicago,1331923359.0,1314214424.0,Austin,Mozilla/5.0,Windows NT 6.1,www.facebook.com,nationalmap.gov,30.4, -97.7528
113,PL,Europe/Warsaw,1331923361.0,1331922854.0,Cracow,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,50.083302, 19.9167
114,US,America/Denver,1331923362.0,1331918691.0,Colorado Springs,Mozilla/5.0,iPhone,direct,www.healthcare.gov,38.8326, -104.740501
115,PL,Europe/Warsaw,1331923363.0,1331922854.0,Zdunska Wola,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,51.599998, 18.9333
116,IT,Europe/Rome,1331923365.0,1331922854.0,Catania,Mozilla/5.0,Windows,direct,www.nasa.gov,37.5, 15.1
117,US,America/New_York,1331923369.0,1319563556.0,White Plains,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,41.029099, -73.758003
118,US,America/Los_Angeles,1331923368.0,1331254100.0,Torrance,Mozilla/5.0,Windows NT 5.1,t.co,www.cdc.gov,33.835201, -118.328903
119,US,America/Los_Angeles,1331923371.0,1331922854.0,Seattle,Mozilla/5.0,Macintosh,plus.url.google.com,www.nasa.gov,47.5951, -122.332603
120,US,Pacific/Honolulu,1331923371.0,1331921801.0,Mililani,Mozilla/4.0,Windows NT 6.1,direct,www.navy.mil,21.4701, -157.963699
121,US,America/New_York,1331923371.0,1319563556.0,Alexandria,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,38.790901, -77.094704
122,DE,Europe/Berlin,1331923373.0,1331922854.0,Vordorf,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,52.366699, 10.5333
123,US,America/Chicago,1331923377.0,1331840856.0,Milan,Mozilla/5.0,iPad,twitter.com,www.whitehouse.gov,35.925098, -88.785797
124,US,America/New_York,1331923379.0,1319563556.0,Philadelphia,Mozilla/5.0,Windows,direct,www.nysdot.gov,39.996799, -75.148499
125,CZ,Europe/Prague,1331923380.0,1331922854.0,Prague,Mozilla/5.0,Windows NT 5.1,www.facebook.com,www.nasa.gov,50.083302, 14.4667
126,ES,Europe/Madrid,1331923383.0,1331918641.0,Barcelona,Mozilla/5.0,Windows NT 6.1,t.co,www.nlm.nih.gov,41.383301, 2.1833
127,BR,America/Sao_Paulo,1331923383.0,1331918414.0,Rio De Janeiro,Mozilla/5.0,Windows NT 6.1,t.co,www.nasa.gov,-22.9, -43.233299
128,US,America/New_York,1331923385.0,1331916658.0,Morrisville,Mozilla/5.0,Windows NT 6.1,t.co,www.fairfaxcounty.gov,40.195702, -74.812698
129,HU,Europe/Budapest,1331923387.0,1331908247.0,Kiskunhalas,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,46.4314, 19.487499
130,TH,Asia/Bangkok,1331923387.0,1331922854.0,Bangkok,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,13.75, 100.516701
131,US,America/Los_Angeles,1331923390.0,1319563556.0,Danville,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,37.812901, -121.974297
132,US,America/Anchorage,1331923390.0,1331922854.0,Fairbanks,Mozilla/5.0,iPhone,direct,www.nasa.gov,64.818497, -147.721603
133,US,America/New_York,1331923391.0,1319563556.0,Allentown,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,40.567799, -75.482803
134,PL,Europe/Warsaw,1331923396.0,1331922854.0,Gliwice,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,50.283298, 18.6667
135,US,America/Chicago,1331923396.0,1331921618.0,New Iberia,Mozilla/5.0,Windows NT 6.0,t.co,www.cdc.gov,29.957899, -91.872101
136,US,America/New_York,1331923397.0,1331908890.0,Cumming,Mozilla/5.0,Windows NT 5.1,t.co,www.cbo.gov,34.188202, -84.159203
137,ES,Europe/Madrid,1331923399.0,1321047593.0,Torrevieja,Mozilla/4.0,Windows NT 6.1,t.co,earthobservatory.nasa.gov,37.983299, -0.6833
138,JP,Asia/Tokyo,1331923397.0,1331908395.0,Tokyo,Mozilla/5.0,iPhone,t.co,www.ncbi.nlm.nih.gov,35.685001, 139.751404
139,US,America/Denver,1331923400.0,1331922854.0,American Fork,Mozilla/5.0,Macintosh,www.facebook.com,www.nasa.gov,40.393002, -111.783798
140,GB,Europe/London,1331923405.0,1331922854.0,Stockport,Mozilla/5.0,PLAYSTATION 3 4.11,m.facebook.com,www.nasa.gov,53.400002, -2.15
141,US,America/New_York,1331923406.0,1319563556.0,Raleigh,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,35.8713, -78.539398
142,US,Pacific/Honolulu,1331923407.0,1331922709.0,Mililani,Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,21.4701, -157.963699
143,US,America/Chicago,1331923408.0,1331877976.0,Grinnell,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.whitehouse.gov,41.721699, -92.717598
144,US,America/New_York,1331923409.0,1307117230.0,Ashburn,Mozilla/4.0,Windows NT 6.1,nationalmap.gov,nationalmap.gov,39.016499, -77.506203
145,AT,Europe/Vienna,1331923411.0,1331921291.0,Jochberg,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,47.383301, 12.4
146,US,America/New_York,1331923411.0,1319563556.0,Stuart,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,27.077499, -80.258698
147,US,America/New_York,1331923412.0,1319563556.0,White Plains,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,41.029099, -73.758003
148,US,America/Denver,1331923412.0,1331922854.0,Denver,Mozilla/5.0,Windows NT 6.1,plus.url.google.com,www.nasa.gov,39.743698, -104.979301
149,US,Pacific/Honolulu,1331923415.0,1331922709.0,Mililani,Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,21.4701, -157.963699
150,US,America/New_York,1331923415.0,1331921421.0,Grand Rapids,Mozilla/5.0,Linux,t.co,www.fbi.gov,42.9384, -85.6436
151,US,America/Phoenix,1331923415.0,1331922854.0,Tucson,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,32.2132, -110.887299
152,US,America/New_York,1331923417.0,1255769846.0,Marietta,Mozilla/4.0,Windows NT 6.1,direct,toxtown.nlm.nih.gov,33.953201, -84.5177
153,PT,Europe/Lisbon,1331923422.0,1331922854.0,Lisbon,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,38.716702, -9.1333
154,US,America/Los_Angeles,1331923421.0,1319563556.0,San Francisco,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,37.7645, -122.429398
155,US,America/New_York,1331923424.0,1255769846.0,Marietta,Mozilla/5.0,Windows,direct,toxtown.nlm.nih.gov,33.953201, -84.5177
156,ES,Europe/Madrid,1331923424.0,1331670810.0,Abanilla,Mozilla/5.0,Linux,t.co,www.nasa.gov,38.200001, -1.05
157,US,Pacific/Honolulu,1331923426.0,1331922453.0,Mililani,Mozilla/4.0,Windows NT 6.1,direct,www.navy.mil,21.4701, -157.963699
158,US,Pacific/Honolulu,1331923427.0,1331922453.0,Mililani,Mozilla/4.0,Windows NT 6.1,direct,www.navy.mil,21.4701, -157.963699
159,US,America/Chicago,1331923426.0,1331922665.0,Saint Paul,Mozilla/5.0,Windows NT 6.1,t.co,www.nasa.gov,44.9487, -93.100197
160,US,America/Los_Angeles,1331923426.0,1319563556.0,San Jose,Mozilla/5.0,Windows,direct,www.nysdot.gov,37.387402, -121.902397
161,CA,America/Rainy_River,1331923427.0,1331921096.0,Ottawa,Mozilla/5.0,Macintosh,www.facebook.com,homeland.house.gov,45.416698, -75.699997
162,US,America/Chicago,1331923431.0,1331007307.0,El Paso,Mozilla/4.0,Windows NT 6.1,direct,www.srh.noaa.gov,31.815201, -106.424004
163,IL,Asia/Jerusalem,1331923433.0,1331922854.0,Nazareth,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,32.703602, 35.295601
164,IE,Europe/Dublin,1331923434.0,1331922854.0,Dublin,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,53.333099, -6.2489
165,US,America/New_York,1331923435.0,1331922854.0,North Haven,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,41.3834, -72.862602
166,PK,Asia/Karachi,1331923434.0,1331922854.0,Karachi,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,24.866699, 67.050003
167,US,America/Los_Angeles,1331923436.0,1319563556.0,Danville,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,37.812901, -121.974297
168,US,Pacific/Honolulu,1331923437.0,1331922709.0,Mililani,Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,21.4701, -157.963699
169,AT,Europe/Vienna,1331923436.0,1331921292.0,Jochberg,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,47.383301, 12.4
170,US,Pacific/Honolulu,1331923438.0,1331922709.0,Mililani,Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,21.4701, -157.963699
171,US,America/Chicago,1331923439.0,1331888652.0,El Paso,Mozilla/4.0,Windows NT 6.1,www.srh.noaa.gov,www.srh.noaa.gov,31.815201, -106.424004
172,US,America/New_York,1331923441.0,1331904266.0,Atlanta,Mozilla/5.0,iPhone,direct,www.nasa.gov,33.8274, -84.324402
173,ES,Europe/Madrid,1331923440.0,1331908247.0,Abanilla,Mozilla/5.0,Linux,t.co,www.nasa.gov,38.200001, -1.05
174,CO,America/Bogota,1331923442.0,1331908247.0,Bogot,Mozilla/4.0,Windows NT 6.1,t.co,www.nasa.gov,4.6, -74.083298
175,US,America/Indianapolis,1331923442.0,1323789620.0,Fishers,Mozilla/5.0,Windows NT 6.1,www.huffingtonpost.com,www.rules.house.gov,39.960999, -85.983704
176,CA,America/Rainy_River,1331923446.0,1331919511.0,Ottawa,Mozilla/5.0,Macintosh,www.facebook.com,homeland.house.gov,45.416698, -75.699997
177,US,America/New_York,1331923447.0,1301298479.0,Paramus,Mozilla/4.0,Windows NT 6.1,direct,www.fda.gov,40.9445, -74.07
